,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8,Mic9,Mic10,Mic11,Mic12
1,0.000832662,0.001619989,0.001362075,0.001605851,0.001500287,0.00149041,0.00139596,0.001688076,0.001386735,0.001821254,0.001528751,0.00150404
2,0.000169709,0.000271209,0.000363547,0.000565627,0.000465191,0.000554607,0.000704574,0.000604881,0.000566413,0.000936405,0.000659042,0.000596502
3,0.014678893,0.013709034,0.007526361,0.016903032,0.009740835,0.008007388,0.009930604,0.00960084,0.006989958,0.011258495,0.008479673,0.00797784
4,0.002255461,0.003746236,0.00418714,0.007700309,0.006151148,0.006228517,0.009364395,0.007418475,0.006723796,0.009535044,0.007150911,0.008491786
5,0.003120424,0.005205772,0.005758196,0.008907899,0.007839456,0.009794309,0.011745498,0.009539463,0.008512277,0.01551381,0.01068044,0.010633927
6,0.01981205,0.015478424,0.008799382,0.020528218,0.011704703,0.011790028,0.013341797,0.011980647,0.010020685,0.016597838,0.011786489,0.012045201
7,0.01614172,0.010047645,0.007400457,0.01599036,0.011089812,0.009460605,0.015908969,0.011974828,0.010139335,0.014929367,0.01202796,0.013216092
8,0.01015825,0.010073998,0.007304726,0.015780783,0.011257455,0.009632077,0.014905099,0.011133626,0.009110176,0.013215474,0.012191474,0.01080269
9,0.007167032,0.013669443,0.009568458,0.015131057,0.011447489,0.011410279,0.013241322,0.013494745,0.011162265,0.018306589,0.015067199,0.011266545
10,0.004832221,0.018460815,0.007526384,0.010624283,0.014812443,0.009058398,0.012558516,0.010885468,0.009402248,0.012195459,0.011491488,0.01097603
11,0.006444499,0.035035654,0.010946623,0.013776605,0.01962556,0.012128978,0.014172117,0.014863734,0.011999145,0.015392962,0.011823539,0.012192728
12,0.004283198,0.023351917,0.007633729,0.012292479,0.012673215,0.009887005,0.013187252,0.010575738,0.009108189,0.013722093,0.009881038,0.009228726
13,0.006225599,0.041637893,0.012226412,0.01343237,0.017046251,0.013529987,0.013221225,0.012897895,0.010712509,0.015396435,0.011805504,0.011442998
14,0.00398208,0.022845099,0.008530048,0.010328273,0.011858229,0.010300381,0.012018468,0.010761289,0.009215275,0.013925389,0.011232613,0.01131995
15,0.00410649,0.018738899,0.012667643,0.011287954,0.014616331,0.014274569,0.011485338,0.012383787,0.011340155,0.015308153,0.01141667,0.01213023
16,0.003544097,0.010270566,0.017345819,0.010152091,0.010315671,0.016274895,0.010992361,0.011462015,0.011461993,0.012682487,0.011692097,0.012722872
17,0.003829842,0.009407214,0.038427335,0.010012296,0.011177663,0.019591202,0.012244757,0.012870441,0.012691217,0.012827518,0.014084924,0.01125445
