,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8,Mic9,Mic10,Mic11,Mic12
4,0.44729961,0.48663142,0.467643681,0.279328172,0.008028945,0.183745877,0.707348578,0.140557022,0.804132975,0.164114204,0.394103154,0.212446273
8,0.716284092,0.736556281,0.344418858,0.089660954,0.381107668,0.108576903,0.872722327,0.999636111,0.169912917,0.461929488,0.139800152,0.998510592
12,0.519780753,0.519544292,0.283345653,0.51985024,0.788746513,0.309852267,0.546131804,0.031665288,0.05940833,0.873639827,0.359867652,0.750197386
16,0.276397144,0.040615192,0.083013977,0.121444168,0.719299223,0.714395794,0.903725525,0.839777791,0.100577468,0.733364072,0.976168344,0.087859164
20,0.503926345,0.719928503,0.52202214,0.645293614,0.632632119,0.079971989,0.2905444,0.59105769,0.693105878,0.780298973,0.259154987,0.626134717
24,0.557646324,0.365704876,0.537955775,0.33223772,0.921928799,0.662396319,0.915530423,0.360298345,0.823023666,0.450230232,0.99893047,0.277382957
28,0.489828847,0.477598932,0.633142759,0.320499064,0.697335179,0.889237499,0.982616002,0.562047784,0.703073423,0.972635887,0.329987727,0.236613531
32,0.746698523,0.679553817,0.614412448,0.487113046,0.627785978,0.946999337,0.235979839,0.752836504,0.978605208,0.134547151,0.417339805,0.79823191
36,0.494039609,0.972135352,0.962356237,0.101229812,0.796409094,0.390999801,0.724119288,0.380012348,0.439513777,0.814503008,0.13529669,0.567234504
40,0.512357301,0.467080763,0.114327558,0.284931701,0.954180066,0.857922186,0.623354702,0.464326128,0.607001663,0.898021536,0.414226153,0.628763226
44,0.583571517,0.032177127,0.377255204,0.861306715,0.838952342,0.112826865,0.239512354,0.478551658,0.7832449,0.628177814,0.902395322,0.474241395
48,0.322669514,0.365228927,0.015933487,0.78021099,0.893355501,0.909458123,0.177026279,0.324218868,0.127005515,0.939843526,0.282339786,0.215163164
52,0.255451999,0.522218454,0.671444141,0.633033748,0.858920022,0.329969737,0.569204463,0.581871743,0.56787062,0.133372501,0.277360781,0.868139845
56,0.907541059,0.464893984,0.599537089,0.640923518,0.262816264,0.781949813,0.177196237,0.974157823,0.237373698,0.165756982,0.646535236,0.86103322
60,0.398065739,0.570806278,0.703469749,0.801629406,0.225084913,0.696972925,0.48401933,0.869918603,0.097389198,0.476674714,0.286025374,0.744702991
