,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8,Mic9,Mic10,Mic11,Mic12
4,0.002722525,0.004535128,0.005034341,0.008326063,0.007046049,0.008207404,0.010621934,0.008545018,0.007670368,0.012876274,0.009088702,0.009622686
8,0.008789775,0.012007088,0.008512135,0.01545935,0.011352341,0.010558055,0.01409785,0.01237017,0.010188043,0.015965005,0.013705035,0.011037106
12,0.005343365,0.033756837,0.010192171,0.012875108,0.015019815,0.011849132,0.013204293,0.011794088,0.009942411,0.014582678,0.010885917,0.010395037
16,0.003689718,0.009848401,0.029812375,0.010082436,0.010755332,0.018009626,0.01163527,0.012186558,0.012092297,0.012755268,0.012943981,0.012011035
20,0.003728088,0.008800053,0.015014893,0.010049226,0.010925221,0.032386604,0.011838175,0.01157155,0.012802146,0.014297398,0.011284256,0.011807819
24,0.004677569,0.015108354,0.011145762,0.013403325,0.040280144,0.012572862,0.013119969,0.015137564,0.010289855,0.015029976,0.011047161,0.011363843
28,0.008540029,0.008687412,0.007603613,0.037666217,0.010832941,0.009614415,0.015478477,0.011384188,0.009552768,0.016100874,0.01272705,0.011060776
32,0.004511746,0.009175627,0.007432429,0.012827734,0.010219226,0.01058245,0.016628611,0.015258044,0.009820917,0.017264517,0.013317395,0.010867329
36,0.003965009,0.008040418,0.010092781,0.012209056,0.013246971,0.011797268,0.013011924,0.026623973,0.014091433,0.015332145,0.017920565,0.014987533
40,0.003663566,0.00796067,0.009342501,0.010529689,0.011372848,0.013277486,0.011715543,0.012368944,0.031453723,0.015820691,0.013238439,0.023227235
44,0.003707595,0.007821971,0.00899031,0.011200418,0.010723532,0.01168111,0.011639845,0.013472928,0.013915472,0.015929842,0.016185605,0.020617475
48,0.004467635,0.007871053,0.009125857,0.012350615,0.012472441,0.011117208,0.01339126,0.01468909,0.010791649,0.020286154,0.019343118,0.013702464
52,0.002769838,0.004643802,0.00552382,0.009500641,0.007791556,0.0081571,0.012054616,0.009301963,0.008383555,0.01292426,0.010181766,0.008763711
56,0.005428751,0.009982752,0.007766719,0.012758624,0.009218438,0.007464033,0.01422493,0.010659943,0.006830717,0.023312604,0.011586864,0.007817267
60,0.000387237,0.000278644,0.000237903,0.000411871,0.000302342,0.000392318,0.000381584,0.000770577,0.00031846,0.000619355,0.000276034,0.000205326
